Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Theta9,Theta10,Theta11,Theta12,Theta13,Theta14,Theta15,Theta16,Theta17,Theta18,Theta19,Theta20,Theta21,Theta22,Theta23,Theta24,Theta25,Theta26,Theta27,Theta28,Theta29,Theta30,Theta31,Theta32,Theta33,Theta34,Theta35,Theta36,Theta37,Theta38,Theta39,Theta40,Theta41,Theta42,Theta43,Theta44,Theta45,Theta46,Theta47,Theta48,Theta49,Theta50,Theta51,Theta52,Theta53,Theta54,Theta55,Theta56,Theta57,Theta58,Theta59,Theta60,Theta61,Theta62,Theta63,Theta64,Theta65,Theta66,Theta67,Theta68,Theta69,Theta70
54.989,55.605,56.171,56.686,57.152,57.570,57.939,58.262,58.538,58.768,58.953,59.092,59.188,59.238,59.245,59.207,59.126,58.999,58.828,58.612,58.350,58.041,57.686,57.283,56.831,56.331,55.780,55.180,54.528,53.825,53.070,52.265,51.408,50.502,49.548,48.548,47.505,46.422,45.305,44.158,42.989,41.805,40.614,39.426,38.251,37.100,35.984,34.915,33.904,32.964,32.104,31.335,30.667,30.108,29.665,29.344,29.148,29.080,29.141,29.330,29.645,30.082,30.635,31.297,32.060,32.915,33.852,34.859,35.925,37.039
-27.883,-27.756,-27.771,-27.928,-28.225,-28.657,-29.216,-29.894,-30.681,-31.564,-32.530,-33.565,-34.654,-35.784,-36.939,-38.106,-39.271,-40.424,-41.554,-42.650,-43.705,-44.713,-45.667,-46.563,-47.397,-48.168,-48.872,-49.509,-50.078,-50.577,-51.008,-51.370,-51.662,-51.886,-52.041,-52.127,-52.144,-52.093,-51.973,-51.785,-51.527,-51.201,-50.805,-50.341,-49.807,-49.205,-48.535,-47.798,-46.996,-46.130,-45.205,-44.225,-43.193,-42.117,-41.003,-39.861,-38.700,-37.532,-36.370,-35.226,-34.114,-33.049,-32.046,-31.119,-30.282,-29.547,-28.926,-28.428,-28.062,-27.834
-36.647,-36.874,-36.949,-36.871,-36.640,-36.262,-35.742,-35.090,-34.319,-33.446,-32.490,-31.475,-30.430,-29.383,-28.367,-27.414,-26.557,-25.826,-25.247,-24.841,-24.624,-24.604,-24.781,-25.149,-25.695,-26.397,-27.231,-28.167,-29.173,-30.216,-31.265,-32.288,-33.257,-34.149,-34.942,-35.619,-36.167,-36.575,-36.836,-36.945,-36.901,-36.705,-36.359,-35.870,-35.247,-34.501,-33.649,-32.710,-31.707,-30.666,-29.616,-28.590,-27.620,-26.739,-25.977,-25.362,-24.916,-24.656,-24.591,-24.724,-25.051,-25.558,-26.227,-27.034,-27.950,-28.943,-29.981,-31.031,-32.062,-33.046
-6.847,-7.476,-8.052,-8.571,-9.030,-9.427,-9.759,-10.025,-10.224,-10.354,-10.415,-10.406,-10.328,-10.181,-9.966,-9.684,-9.335,-8.923,-8.449,-7.916,-7.326,-6.684,-5.992,-5.255,-4.478,-3.666,-2.823,-1.955,-1.068,-0.168,0.740,1.648,2.551,3.444,4.319,5.171,5.995,6.786,7.538,8.247,8.909,9.520,10.076,10.575,11.014,11.390,11.702,11.948,12.127,12.239,12.282,12.256,12.162,12.000,11.771,11.476,11.115,10.692,10.209,9.667,9.069,8.420,7.723,6.981,6.200,5.384,4.539,3.669,2.780,1.879
72.702,72.727,72.752,72.777,72.802,72.827,72.851,72.876,72.900,72.924,72.948,72.971,72.995,73.018,73.040,73.062,73.084,73.105,73.126,73.146,73.166,73.185,73.204,73.222,73.240,73.257,73.273,73.288,73.303,73.317,73.331,73.344,73.356,73.367,73.377,73.387,73.396,73.404,73.411,73.418,73.423,73.428,73.432,73.435,73.438,73.439,73.440,73.440,73.439,73.437,73.434,73.430,73.426,73.421,73.415,73.408,73.400,73.392,73.382,73.372,73.361,73.350,73.337,73.324,73.310,73.296,73.281,73.265,73.248,73.231
62.646,62.553,62.450,62.337,62.214,62.081,61.938,61.785,61.623,61.451,61.270,61.080,60.881,60.674,60.458,60.235,60.004,59.765,59.520,59.268,59.011,58.748,58.480,58.208,57.933,57.655,57.374,57.093,56.810,56.529,56.248,55.970,55.694,55.423,55.157,54.897,54.644,54.399,54.164,53.939,53.725,53.523,53.334,53.159,52.999,52.854,52.726,52.615,52.521,52.446,52.389,52.350,52.330,52.329,52.348,52.385,52.441,52.515,52.607,52.717,52.844,52.987,53.146,53.320,53.507,53.708,53.921,54.146,54.381,54.625
89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.749,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750,89.750
43.160,42.331,41.456,40.536,39.577,38.581,37.555,36.502,35.430,34.346,33.257,32.171,31.098,30.045,29.024,28.043,27.111,26.238,25.432,24.702,24.055,23.499,23.038,22.678,22.423,22.274,22.235,22.305,22.483,22.768,23.157,23.645,24.228,24.899,25.650,26.476,27.366,28.313,29.307,30.338,31.397,32.475,33.562,34.651,35.732,36.800,37.845,38.864,39.850,40.798,41.706,42.568,43.384,44.150,44.864,45.527,46.135,46.690,47.190,47.636,48.026,48.362,48.643,48.869,49.041,49.158,49.220,49.228,49.182,49.081
-88.727,-88.726,-88.725,-88.724,-88.723,-88.722,-88.722,-88.722,-88.722,-88.722,-88.722,-88.722,-88.723,-88.724,-88.725,-88.726,-88.727,-88.728,-88.730,-88.731,-88.733,-88.734,-88.736,-88.737,-88.739,-88.740,-88.742,-88.743,-88.744,-88.745,-88.746,-88.747,-88.748,-88.748,-88.749,-88.749,-88.749,-88.748,-88.748,-88.747,-88.747,-88.746,-88.745,-88.744,-88.742,-88.741,-88.740,-88.738,-88.736,-88.735,-88.733,-88.732,-88.730,-88.729,-88.727,-88.726,-88.725,-88.724,-88.723,-88.723,-88.722,-88.722,-88.722,-88.722,-88.722,-88.722,-88.723,-88.724,-88.724,-88.726
-48.468,-48.143,-47.783,-47.389,-46.960,-46.497,-45.999,-45.466,-44.898,-44.295,-43.657,-42.984,-42.277,-41.536,-40.762,-39.956,-39.118,-38.250,-37.354,-36.432,-35.485,-34.516,-33.528,-32.524,-31.507,-30.481,-29.450,-28.417,-27.387,-26.366,-25.356,-24.364,-23.394,-22.451,-21.539,-20.663,-19.828,-19.038,-18.297,-17.609,-16.977,-16.405,-15.896,-15.452,-15.076,-14.768,-14.532,-14.367,-14.276,-14.257,-14.312,-14.440,-14.640,-14.912,-15.254,-15.664,-16.141,-16.682,-17.283,-17.943,-18.658,-19.424,-20.237,-21.093,-21.987,-22.915,-23.872,-24.854,-25.855,-26.871
